clip_name label
/home/ubuntu/hryu/data/train/train1.png 0
/home/ubuntu/hryu/data/train/train2.png 0
/home/ubuntu/hryu/data/train/train3.png 0
/home/ubuntu/hryu/data/train/train4.png 0
/home/ubuntu/hryu/data/train/train5.png 0
/home/ubuntu/hryu/data/train/train6.png 1
/home/ubuntu/hryu/data/train/train7.png 1
/home/ubuntu/hryu/data/train/train8.png 0
/home/ubuntu/hryu/data/train/train9.png 1
/home/ubuntu/hryu/data/train/train10.png 0
/home/ubuntu/hryu/data/train/train11.png 0
/home/ubuntu/hryu/data/train/train12.png 1
/home/ubuntu/hryu/data/train/train13.png 0
/home/ubuntu/hryu/data/train/train14.png 0
/home/ubuntu/hryu/data/train/train15.png 0
/home/ubuntu/hryu/data/train/train16.png 0
/home/ubuntu/hryu/data/train/train17.png 0
/home/ubuntu/hryu/data/train/train18.png 0
/home/ubuntu/hryu/data/train/train19.png 0
/home/ubuntu/hryu/data/train/train20.png 0
/home/ubuntu/hryu/data/train/train21.png 0
/home/ubuntu/hryu/data/train/train22.png 0
/home/ubuntu/hryu/data/train/train23.png 0
/home/ubuntu/hryu/data/train/train24.png 0
/home/ubuntu/hryu/data/train/train25.png 0
/home/ubuntu/hryu/data/train/train26.png 0
/home/ubuntu/hryu/data/train/train27.png 0
/home/ubuntu/hryu/data/train/train28.png 1
/home/ubuntu/hryu/data/train/train29.png 0
/home/ubuntu/hryu/data/train/train30.png 0
/home/ubuntu/hryu/data/train/train31.png 1
/home/ubuntu/hryu/data/train/train32.png 1
/home/ubuntu/hryu/data/train/train33.png 0
/home/ubuntu/hryu/data/train/train34.png 0
/home/ubuntu/hryu/data/train/train35.png 0
/home/ubuntu/hryu/data/train/train36.png 0
/home/ubuntu/hryu/data/train/train37.png 0
/home/ubuntu/hryu/data/train/train38.png 0
/home/ubuntu/hryu/data/train/train39.png 0
/home/ubuntu/hryu/data/train/train40.png 0
/home/ubuntu/hryu/data/train/train41.png 0
/home/ubuntu/hryu/data/train/train42.png 0
/home/ubuntu/hryu/data/train/train43.png 0
/home/ubuntu/hryu/data/train/train44.png 0
/home/ubuntu/hryu/data/train/train45.png 0
/home/ubuntu/hryu/data/train/train46.png 0
/home/ubuntu/hryu/data/train/train47.png 0
/home/ubuntu/hryu/data/train/train48.png 0
/home/ubuntu/hryu/data/train/train49.png 0
/home/ubuntu/hryu/data/train/train50.png 0
/home/ubuntu/hryu/data/train/train51.png 0
